ISO,quarantine _1,quarantine _2,quarantine _3,quarantine _4,quarantine _5,quarantine _6,quarantine _7,quarantine - Split 9,covidTest_1,covidTest_2,covidTest_3,covidTest_4,covidTest_5,covidTest_6,covidTest_7,covidTest_8,covidTest_9,covidTest_10,covidTest_11,covidTest_12,
DJI,Quarantine requirement at government designated site- subject to PCR,"On arrival at all entry points (land, air or sea), if you are older than 11 years, you will be tested for COVID-19",You should not eat anything 30 minutes before your arrival at the entry point,"You will have to pay for the test either by credit card, but as the credit card machines do not always work, cash (dollars, euros accepted) is a more reliable method of payment",If the result is positive you will contacted at your accommodation and be taken to a government designated quarantine hotel or hospital and remain in quarantine until you test negative,You will cover accommodation costs,A three-day self-isolation is required by UN  WFP staff,,COVID-19 negative certification required for entering the country,"Whether arriving by air, land or sea, you will be required to provide a PCR test certificate from the country where you started your journey",The test must be taken within 72 hours before you leave your destination and within 120 hours of your arrival in Djibouti,,,,,,,,,,
DMA,Quarantine requirement at government designated site- subject to Rapid Diagnostic Test (RDT),A pinprick Rapid Diagnostic Test (RDT) will be taken on arrival,"If the RDT is negative, then the traveller must self-isolate in a government operated or government certified facility for five days before having a further PCR test","If the RDT is positive, then a further PCR swab test will be carried out",This will be at the traveller‚Äôs expense,,,,COVID-19 negative certification required for entering the country,"Arriving passengers must complete an online questionnaire  24 hours before arrival, and have a PCR swab test with a negative result taken up to 72 hours before arrival",A pinprick Rapid Diagnostic Test (RDT) will be taken on arrival,,,,,,,,,,
DOM,Quarantine requirement at government designated site- subject to PCR,Passengers may be subject to COVID-19 PCR test,Passengers showing COVID-19 symptoms will also be tested,"If a passenger tests positive for COVID-19, they will be required to isolate in an authorised location",,,,,COVID-19 negative certification required for entering the country,All passengers will have their temperature tested,The Dominican authorities will also administer a rapid diagnostic breath test to a percentage of randomly-selected passengers on arrival,Passengers may be subject to COVID-19 PCR test,"You will be asked to fill out a Travellers Health Affidavit online, confirming whether you have any coronavirus symptoms and providing your contact details",,,,,,,,
ECU,Self-isolation at own accommodation- subject to testing,Passengers who test positive in the antigen test taken at the airport will need to self-isolate for 10 days,Self-isolation for non-residents can be carried out in any hotel,"Local residents and people qualified as ‚ priority attention group such as people over 65 years old, children and pregnant women, will be allowed to self-isolate at their homes","As of 9 April 2021, passengers arriving from Brazil, including those who had been in transit only, will need to self-isolate for 10 days in any hotel accredited by the Ministry of Tourism",,,,COVID-19 negative certification required for entering the country,"Upon arrival, travellers must also present a negative Real-Time Polymerase Chain Reaction (RT-PCR) qualitative test for COVID-19, or a negative antigen rapid test, taken up to 3 days prior to their arrival in the country",,,,,,,,,,,
EGY,Self-isolation at own accommodation,"If your test result is positive, the Egyptian authorities are likely to ask you to self-isolate for up to 14 days in a separate room allocated for quarantine within your hotel",,,,,,,COVID-19 negative certification required for entering the country,"All persons (including those who hold Egyptian nationality) arriving from overseas, to any part of Egypt, will be required to present a negative PCR test certificate on arrival, and an indication of when the test was taken",The Egyptian authorities have advised that PCR tests must be conducted no more than 72 hours prior to flight departure,Passengers arriving from London Heathrow only are permitted to have their PCR test conducted no more than 96 hours prior to flight departure,Children under the age of 6 are exempt from providing negative PCR test certificates,,,,,,,,
SLV,Quarantine Requirement- Unknown where,Those who are permitted to enter the country are subject to a 14-day quarantine,,,,,,,COVID-19 negative certification required for entering the country,Those entering the country must produce evidence of an original PCR test certificate with a negative result received not more than 72 hours prior to your flight or land border entry,,,,,,,,,,,
GNQ,Quarantine requirement at government designated site- subject to PCR,"On arrival, you will be required to provide proof of a negative COVID-19 PCR test, taken within the last 48 hours",All arriving passengers are also required to undergo a rapid COVID-19 test upon arrival and to quarantine for 5 days,,,,,,COVID-19 negative certification required for entering the country,"All travellers to provide proof of a negative COVID-19 PCR test, taken within the last 48 hours and to undergo a rapid COVID-19 test upon arrival",,,,,,,,,,,
ERI,Self-isolation at own accommodation or government facility,"Self-isolation or quarantine is now reduced to 7 days, from 14-day, for those coming with a negative PCR test certificate",,,,,,,COVID-19 negative certification required,All incoming passengers must have a PCR negative test certificate issued within the last 72-hours,,,,,,,,,,,
EST,Self-isolation at own accommodation- subject to category,All travellers from high-risk countries must complete a 10-day mandatory quarantine,"As an alternative, they can submit to a double testing procedure",The quarantine period may be shortened by taking a second RT-PCR test no less than 6 days after the first test,"If the result of both tests is negative, the period of quarantine can end","The 10-day isolation requirement does not apply to persons who have been vaccinated against COVID-19 in the last six months, or who have recovered from COVID-19 in the last six months and who have been declared healthy by a doctor",,,COVID-19 negative certification subject to special conditions,All travellers from high-risk countries  are subject to the requirement for a pre-departure negative PCR test taken within 72 hours prior to arrival,A second test has to be taken no earlier than on day 6 after the first test taken abroad,A person is released from the 10-day isolation obligation if the results of both tests are negative,"Those who have not taken the test up to 72 hours before arriving in Estonia can take the first test in Estonia immediately after arriving in the country, and the second test no earlier than 6 days after the first test",,,,,,,,
SWZ,Quarantine requirement at government designated site,"You may be required to undergo a quarantine period not exceeding 14 days, or isolation as advised by the port health officers",,,,,,,COVID-19 negative certification required for entering the country,A COVID-19 test must be performed no more than 72 hours before departure and you must be able to demonstrate a negative test result on entry,"Upon arriving in Eswatini, you will be screened for COVID-19 symptoms and asked about your country of origin and any transit stops","If you do not present a negative COVID-19 result on entry, or if you display COVID-19 symptoms, you will be required to take a COVID-19 test on arrival at your own cost",,,,,,,,,
ETH,Self-isolation at own accommodation or government facility,All passengers will be subject to 7 days mandatory self-isolation,You must provide the address for your self-isolation upon arrival,Diplomats are encouraged to present a negative RT PCR COVID-19 test certificate,"Where they do so, they will need to self-isolate at their residence for 7 days","Where they do not present a negative test certificate, they will be required to self-isolate for 14 days",,,COVID-19 negative certification required,"All passengers arriving into the country (except diplomats) are required to present a negative RT PCR COVID-19 test certificate, dated within the previous 120 hours (5 days)",Only RT 2PCR tests will be accepted,"Addis Ababa Bole International Airport (and other international airports) have put in place measures to screen passengers arriving, departing or transiting through Ethiopia",Arriving passengers are required to present a negative RT PCR COVID-19 test certificate prior to entry,"Additional screening may include temperature measurements, completing a health screening questionnaire and answering questions from health officials",,,,,,,
FLK,Self-isolation at own accommodation,Any entrants into the Falkland Islands are expected to self-isolate for a period of 14 days,,,,,,,COVID-19 negative certification not required   not known,,,,,,,,,,,,
FRO,Self-isolation at own accommodation- subject to PCR,All travellers to the Faroe Islands must be tested for COVID-19 on arrival,Children younger than 12 do not need to be tested,Testing is free of charge up to and including 31 July,,,,,COVID-19 negative certification subject to special conditions,All travellers to the Faroe Islands must be tested for COVID-19 on arrival until 31 October,A follow up test on the sixth day of the visit is strongly recommended,Children younger than 12 do not need to be tested,Testing is free of charge up to and including 30 September,From 1 October travellers will have to pay for the test,Each test costs approximately DKK 390-500,Travellers should expect long waiting times upon arrival,,,,,
FJI,Quarantine requirement outside territory or at a at government designated site,Entry requires confirmation of willingness to enter a government-mandated quarantine facility for 14 days,,,,,,,COVID-19 negative certification required,All arrivals must bring evidence of a negative COVID-19 RT-PCR test (for a nasopharyngeal sample taken not more than 72 hours before departure),The test result must be in the form of the complete report from the laboratory that performed the test,,,,,,,,,,
FIN,Self-isolation at own accommodation,A 14-day period of self-isolation is recommended for travellers arriving in Finland from high-incidence countries,"Travellers can shorten their self-isolation period if they take two COVID-19 tests, and the results are negative",The tests are necessary even if you have received two doses of corona vaccine,,,,,COVID-19 negative certification required,All travellers who do not live in Finland should take a COVID-19 test less than 72 hours before arriving in Finland,A second test can be taken in Finland no earlier than 72 hours after arriving in Finland,"Between the tests, self-isolation at the place of accommodation is recommended",,,,,,,,,
FRA,Self-isolation at own accommodation-subject to list,"Only in the case of COVID-19 symptoms, travellers will have to undergo a quarantine or isolation","If a test cannot be carried out in the country of departure, you can ask the French Embassy or Consulate for a specific document called ""RT-PCR test exemption""","In this case, you will be tested upon arrival and a 7-day compulsory quarantine will have to be completed in an accommodation establishment validated by the public authorities, with an additional test at the end of the isolation period","Arrivals from: Australia, Israel, Japan, New Zealand, Singapore, South Korea or the United Kingdom. If you are arriving from one of these countries, you can enter France",You must comply with health regulations (PCR test and declaration) and you must quarantine for 7 days after your arrival,,,COVID-19 negative certification required- subject to category,All travellers are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to arrival,"Upon their arrival, passengers will also be subject to a PCR test",Travellers need to submit to a PCR test upon arrival,This requirement does not apply to people under the age of 11,"If a test cannot be carried out in the country of departure, you can ask the French Embassy or Consulate for a specific document called ""RT-PCR test exemption""","In this case, you will be tested upon arrival and a 7-day compulsory quarantine will have to be completed in an accommodation establishment validated by the public authorities, with an additional test at the end of the isolation period","A reinforced control is in place for people arriving from Brazil, Argentina, Chile, South Africa and India","In this case, travellers are subject to a pre-departure negative PCR test taken within 36 hours prior to arrival","Alternatively, a pre-departure negative PCR test taken within 72 hours prior to arrival and a negative antigenic test taken within 24 hours prior to boarding are required",,
GUF,Self-isolation at own accommodation,"Arrivals from most destinations will also be required to self-isolate for seven days, before taking another PCR test",,,,,,,COVID-19 negative certification required for entering the country,All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for French Guiana,The test is obligatory and the traveller must show proof of a negative result before embarking,,,,,,,,,,
PYF,No current quarantine requirement,,,,,,,,COVID-19 negative certification required for entering the country,Current measures include a requirement for all travellers to undertake a test for COVID-19 within 72 hours before departure and to show proof of a negative result when embarking,,,,,,,,,,,
GAB,Self-isolation at own accommodation,"On arrival, all passengers must take a compulsory test for COVID-19 at Libreville Airport and self-isolate for 48 hours whilst the COVID-19 test is being processed","If the COVID-19 test is negative, passengers will be issued a test certificate, which is valid for 7 days and can be renewed at the end of this period after another test is undertaken","If a COVID-19 test taken at the airport is positive, then passengers are required to continue self-isolation and await specific instructions from Gabonese health authorities",All COVID-19 tests taken in Gabon supersede any that were taken before arrival in Gabon,,,,COVID-19 negative certification subject to special conditions,All COVID-19 tests taken in Gabon supersede any that were taken before arrival in Gabon,"On arrival, all passengers travelling to Gabon must present a valid negative polymerase chain reaction (PCR) test no older than 3 days for entry into Gabon","On arrival, all passengers must take a compulsory test for COVID-19 at Libreville Airport",Passengers are then required to self-isolate for 48 hours whilst the COVID-19 test is being processed,,,,,,,,
GMB,Quarantine requirement at government designated site- subject to PCR,Failure to present a negative PCR COVID-19 test taken no more than 72 hours before you arrive in The Gambia to Ministry of Health officials or a positive test on arrival will result in you being tested and quarantined for 14 days at your own cost,,,,,,,COVID-19 negative certification required for entering the country,"To enter The Gambia, you will need to show a negative PCR COVID-19 test taken no more than 72 hours before you arrived in The Gambia",,,,,,,,,,,
PSE,Quarantine requirement at government designated site or self-isolation at home,"From 23 December, all international travellers will be required to complete quarantine","Upon arrival at the airport, your temperature will be taken",You must be able to prove you can enter isolation at home or another available dwelling in full compliance with the isolation guidance,"If you are unable to do so, you will be sent to a state-sponsored hotel for isolation",,,,COVID-19 negative certification subject to special conditions,"If you‚Äôre eligible for entry, you will need to complete an entry form",All travellers will be required to quarantine for 14 days,This may be shortened to 10 days upon the completion of two negative coronavirus tests (one upon arrival and one after 9 days),The minimum time required between the two tests is at least 24 hours,,,,,,,,
GEO,Quarantine requirement at government designated site- subject to PCR,Mandatory 14-day quarantine is imposed on anyone who has been in India in the previous 14-day period,,,,,,,COVID-19 negative certification subject to special conditions,"You must travel direct by air and submit a travel history in advance, present on arrival a negative PCR test taken within the previous 72 hours and take a further PCR test at your own expense on your third day in Georgia",,,,,,,,,,,
DEU,Self-isolation at own accommodation- subject to categorisation,"Risk areas are defined as ""virus variant"", ""high incidence"", or ""risk"" area",The website of the Robert Koch Institute (RKI) shows which country falls into which category,"Travellers who have stayed in a risk area, high incidence area or area of variant of concern in the last 10 days must self-isolate for 10 days (14 days in case of area of variant of concern)","For arrivals from high incidence areas, the quarantine period may be ended with a negative test carried out no earlier than 5 days after entry","For arrivals from areas of variant of concern, a reduction of the quarantine period is not possible",,,COVID-19 negative certification subject to special conditions,"Risk areas are defined as ""virus variant"", ""high incidence"", or ""risk"" area",The website of the Robert Koch Institute (RKI)  shows which country falls into which category,Travellers who have stayed in the last 10 days in an area of variant of concern are subject to a pre-departure negative PCR test taken no earlier than 72 hours before entry (for antigen rapid test: no earlier than 24 hours before entry),"Travellers who have stayed in the last 10 days in a high incidence area are subject to a pre-departure negative PCR test taken no earlier than 72 hours before entry (for antigen rapid test: no earlier than 48 hours before entry) or, alternatively, to submission of proof of a full COVID-19 vaccination or recovery from COVID-19","Travellers from risk areas are subject to a pre-departure negative PCR test taken no earlier than 72 hours before entry (for antigen rapid test: no earlier than 48 hours before entry) or, alternatively, to submission of proof of a full COVID-19 vaccination or recovery from COVID-19",,,,,,,
GHA,Quarantine requirement at government designated site- subject to PCR test,"All arriving passengers should be prepared to comply with Ghana, COVID-19 Health Protocols","This may, depending on the test result of individuals or others on the flight, involve time in quarantine or in a Government Health facility",,,,,,COVID-19 negative certification required for entering the country,Passengers travelling to Ghana are now required to take a Polymerise Chain Reaction (PCR) COVID test with one of the listed providers within 72 hours of departure,"It is recommend travelling with hard copy proof of this negative Polymerise Chain Reaction (PCR) COVID-19 test result, to present on arrival",Children under the age of 5 are exempt,,,,,,,,,
GIB,Self-isolation at own accommodation- subject to categorisation,"If you have only been in countries or territories on the green list you do not need to provide evidence of vaccination, or self-isolate","However if you have been to a country on the amber or red list in the previous 14 days and if you have not been fully vaccinated, you will need to self-isolate on arrival in Gibraltar",,,,,,COVID-19 negative certification required for entering the country,"If you have only been in countries or territories on the green list in the 14 days preceding your arrival in Gibraltar, you must book a free COVID-19 lateral flow test before arriving in Gibraltar",The test must take place within 24 hours of your arrival,"If you are remaining in Gibraltar for more than 7 days, you must also take a second test on day 5","You do not need to provide evidence of vaccination, or self-isolate","However if you have been to a country on the amber or red list in the previous 14 days, you must book your COVID-19 tests before your arrival, and if you have not been fully vaccinated, you will need to self-isolate on arrival in Gibraltar",In all instances you must complete a Passenger Locator Form,,,,,,
GRC,Self-isolation at own accommodation,"Travellers arriving from EU Member States and Schengen Associated Countries are exempted from the mandatory 7-day quarantine in the following cases: - they hold a certificate of vaccination against Covid-19 and a 14 day period has elapsed since these passengers were fully vaccinated; - they show a negative result to a molecular PCR test for Covid-19, taken within 72 hours before their entry in Greece - certificate of recovery from COVID-19 in the past 9 months","In all other cases, travellers will be required to quarantine for at least 7 days","In case their test result is positive, they will be quarantined for 14 days. Children aged 5 and under are exempted","Upon their arrival, passengers will also be subject to random testing (rapid tests)",,,,COVID-19 negative certification required for entering the country,All travellers are subject to the requirement for a pre-departure negative PCR test taken within 72 hours prior to arrival,Children aged 5 and under are exempted,"Upon their arrival, passengers will also be subject to random testing (rapid tests)",,,,,,,,,
GRL,Self-isolation at own accommodation,"Effective July 21, travelers are not required to self-quarantine upon arrival in Greenland or re-test for COVID-19 after arrival",,,,,,,COVID-19 negative certification required for entering the country,All travelers to Greenland require proof of a negative COVID-19 test result within five days prior to travel to Greenland,"They must also complete a ‚ Sumut‚Äù form prior to entry, containing their travel itinerary and lodging details in Greenland","That form can be found on the Greenlandic government COVID-19 information page: <a href=""https:    sumut2020","gl  Instructions  EditInstructions"">here",,,,,,,,
GRD,Quarantine requirement at government designated site,"Entry health protocols mean that all travellers must pre-book approved accommodation for quarantine on arrival, pre-pay for COVID test, apply for a Pure Safe Travel Certificate and obtain a negative COVID PCR test result within 3 days of travel",,,,,,,COVID-19 negative certification required for entering the country,,,,,,,,,,,,
GLP,Self-isolation at own accommodation,"Anyone arriving in Guadeloupe is subject to a 14-day compulsory self-quarantine - this is cut to 7 days for those who, on arrival, present a negative RT-PCR COVID-19 test taken in the previous 72 hours and test negative again after 7 days in quarantine",,,,,,,COVID-19 negative certification is required for entering the country,All travellers over the age of 11 must undertake a test for COVID-19 within 72 hours before departure for Guadeloupe,The test is obligatory and the traveller must show proof of a negative result before embarking,Travellers must also provide a self -certified document affirming that they have no COVID symptoms and that to their knowledge they have not been in contact with any person confirmed positive within the last 14 days,Airlines will refuse boarding to anyone who does not produce both proof of a negative result and the self-certified document,,,,,,,,
GUM,Quarantine Requirement- Unknown where Passengers who enter Guam without proper documentation will be quarantined,,,,,,,,COVID-19 negative certification required for entering the country,Travelers from high-risk COVID-19 areas should present a negative PCR test for COVID-19 from within 72 hours of their arrival,,,,,,,,,,,
GTM,Self-isolation at own accommodation- dependent on category and origin,"Normally no quarantine measure, although since 23 December 2020, Guatemala does not permit the entry of travellers who have been in the United Kingdom or South Africa in the 14 days prior to their arrival","On 16 April, Guatemala included Brazil in this provision","These measures are not applicable to Guatemalan nationals, diplomats or foreign nationals who are legal residents in the country who must instead self-isolate upon arrival for 10 days at their place of residence",,,,,COVID-19 negative certification required for entering the country,"You must provide a negative COVID-19 PCR or antigen test, dated no more than 3 days before the date of your arrival in Guatemala",The 3 days commence from the date and time the test is conducted the moment you check-in with the airline,"If you have been diagnosed with COVID-19 in the past 3 months, you must present a medical certificate from the health clinic where you were treated, that states the date you were diagnosed with COVID-19 (including the copy of the test) and confirmation of your recovery","If you have received the COVID-19 vaccine, you must present evidence that you have received two doses",The last dose must have been administered no less than 2 weeks prior to the date of travel,"If for exceptional circumstances you fail to provide the required negative COVID-19 test, you may be allowed to board the flight, and will be required to take the test upon arrival at the airport at a cost of US $25",This option may change depending on the airline you are travelling with,"24 hours before your arrival, you are required to <a href=""https:    sre","gt  es  "">register via the Guatemalan Health Pass website","Once you have submitted your details, you must print the form and bring it with you",,
GIN,Quarantine requirement at government designated site- subject to PCR test,Quarantine measures are in force for coronavirus,"Following the identification of a new strain of COVID-19, travellers from the UK must also take a PCR test on arrival and remain in quarantine until the result",Those testing positive will be taken to a government treatment centre,If anyone shows symptoms of COVID-19 they should self isolate and follow Agence Nationale S√©curit√© Sant√© (ANSS) guidance and telephone 115,,,,COVID-19 negative certification required for entering the country,Travellers from the UK must also take a supplementary PCR test on arrival and remain in quarantine until the result,Those testing positive will be taken to a government treatment centre,,,,,,,,,,
GNB,Self-isolation at own accommodation- subject to PCR,You may also be required to fill in a form with information on your origin and contacts,"If you display any symptoms for COVID-19 on arrival, you will be tested again, and have to remain in isolation at your place of residence until results are delivered","If someone on your flight is thought to have COVID-19, you may be required to isolate at one location for 14 days, and be monitored by the health authorities",are delivered,"If someone on your flight is thought to have COVID-19, you may be required to isolate at one location for 14 days, and be monitored by the health authorities",,,COVID-19 negative certification required for entering the country,"All those entering Guinea Bissau must present a negative COVID-19 PCR test result from an accredited institution, taken within the last five days",You should arrange to take a private test,"You will also have to take a COVID test within 72 hours of your departure from Guinea Bissau at a cost of 30,000 CFA",,,,,,,,,
GUY,Quarantine requirement at government designated site- subject to PCR test,Passengers with PCR tests within four to seven days prior to arrival in Guyana will be subjected to a second PCR test at the point of entry but will be allowed to self-isolate in their hotel or home until a negative result is obtained,,,,,,,COVID-19 negative certification required for entering the country,"Passengers arriving into Guyana must obtain a negative COVID-19 PCR test, taken within seven days prior to their arrival",If you arrive with a test completed within 72 hours you will be allowed immediate entry into Guyana without restrictions,,,,,,,,,,
HTI,Self-isolation at own accommodation,You may be asked to self isolate for 14 days in your own accommodation,,,,,,,COVID-19 negative certification required for entering the country,"The Government of Haiti has announced that beginning on February 9, 2021, it will require negative COVID tests from all passengers prior to boarding flights into Haiti",These tests must have been taken no more than 72 hours prior to boarding and may be Antigen or PCR type,,,,,,,,,,
HND,Self-isolation at own accommodation,You should self-isolate for 14 days after arrival,,,,,,,COVID-19 negative certification required for entering the country,You are required to pre-register online  with Honduran Immigration,You must present a negative COVID-19 test result upon arrival from a test taken in the previous 72 hours,,,,,,,,,,
HKG,Quarantine requirement at government designated site or self-isolation at home,"All travellers entering Hong Kong, including Hong Kong residents, will have to take a mandatory medical test for coronavirus on arrival and need to undergo 21-day compulsory quarantine",See testing on arrival and quarantine requirements below,"Travellers arriving at Hong Kong International Airport (with the exception of those travelling from mainland China, Macao and Taiwan) need to provide confirmation of a hotel room reservation in a designated quarantine hotel in Hong Kong for no less than 21 days, starting on the day of their arrival",,,,,COVID-19 negative certification required for entering the country,Passengers transiting within high-risk places  must be tested within 72 hours of their final departure from that country,All travellers ending their journey at Hong Kong International Airport will have to provide a saliva sample which will be tested for coronavirus,"After collecting baggage, travellers will be taken by shuttle bus to the designated location","Travellers will have to wait for test results, before proceeding to their mandatory quarantine hotel",,,,,,,,
HUN,Self-isolation at own accommodation,All travellers must complete a 10-day mandatory quarantine,"The quarantine period may be shortened by taking a PCR test no less than 5 days after arrival, followed by a second PCR test no less than 48 hours after the first one","If the result of these tests is negative, the period of quarantine can end",,,,,COVID-19 negative certification subject to special conditions,"The quarantine period may be shortened by taking a PCR test no less than 5 days after arrival, followed by a second PCR test no less than 48 hours after the first one",,,,,,,,,,,
ISL,Self-isolation at own accommodation- subject to PCR,"All arriving passengers have to submit to a PCR test upon arrival, followed by a 5-day quarantine and a second PCR test","Those who provide valid proof of having been vaccinated against COVID-19, are not required to provide a PCR-test prior to boarding and are also exempt from screening and quarantine measures at the border",The same applies to those who can provide proof of prior infection,,,,,COVID-19 negative certification subject to special conditions,All travellers are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to departure,"Additionally, all passengers arriving in Iceland must undergo two more PCR tests: one upon arrival, and another one 5-6 days later","Those who provide valid proof of having been vaccinated against COVID-19, are not required to provide a PCR-test prior to boarding and are also exempt from screening and quarantine measures at the border",The same applies to those who can provide proof of prior infection,,,,,,,
IND,Quarantine requirement at government designated site or self-isolation at home,,,,,,,,COVID-19 negative certification subject to special conditions,Thermal screening will be carried out by the health officials at arrival,You must comply with all instructions and screening requirements,You should arrange to take a private test,,,,,,,,,
IDN,Quarantine requirement at government designated site,You will need to undergo a further COVID-19 swab test on arrival and then quarantine at your own expense in a designated hotel for a period of 5 days,After 5 days you will undertake a third PCR test,"If this is negative, you will be allowed to proceed with your journey","If the test is positive, you will be referred to hospital",,,,COVID-19 negative certification required for entering the country,You must be in possession of a health certificate confirming a negative COVID-19 PCR test (swab test) result,"From 1 January, your certificate must be issued a maximum of 72 hours prior to your departure for Indonesia",The certificate must be in English,You will need to undergo a further COVID-19 swab test on arrival and then quarantine at your own expense in a designated hotel for a period of 5 days,After 5 days you will undertake a third PCR test,"If this is negative, you will be allowed to proceed with your journey","If the test is positive, you will be referred to hospital",You are required to complete the Indonesian eHAC registration and be able to produce the QR code generated on arrival in Indonesia for inspection,"With effect from 23 April, you will not be granted a visa if you have been in India in the 14 days prior to arriving in Indonesia",,,
IRN,Quarantine requirement at government designated site for Iranian nationals without PCR certificate,Iranian nationals without such a PCR certificate will be directed to quarantine locations for 14 days and will incur associated medical and accommodation costs,,,,,,,COVID-19 negative certification required for entering the country,"All passengers arriving into Iran by air are required to hold a valid health certificate, issued by the health authorities of the country of departure","This must contain a COVID-19 molecular test performed by an approved centre of the departure country, carried out within 96 hours of entry into Iran",Non-Iranian nationals will not be permitted entry without such a certificate,,,,,,,,,
IRQ,Quarantine requirement at government designated site or self-isolation,All people entering Iraq are subject to a mandatory 14-day quarantine and may be asked to provide proof of a hotel booking for quarantine purposes,Travellers arriving to the Iraqi Kurdistan Region (IKR) must sign a pledge of accepting quarantine measures,A violation can lead to a fine of up to one million Iraqi dinars (approx 850 USD),,,,,COVID-19 negative certification required for entering the country,WFP staff arriving in country are required to bring a medical certificate to prove they are clear of COVID-19 and should self-isolate for two weeks,Passengers on arrival must produce a negative COVID-19 test report obtained 72 hours prior to their flight,"Otherwise, the traveller will be tested for COVID-19 at their own cost on arrival and will have to wait in isolation for 48 hours","If found positive, they will be transferred to a COVID-19 clinic","For the Iraqi Kurdistan Region (IKR), any traveller arriving through the air and land border in this region must show a certificate for a negative COVID-19 test not older than 48 hours","Without the report, the traveller will be required to undergo the test at their own cost and wait in home isolation for 48 hours","If found positive, the travellers will be sent to COVID-19 clinics",,,,,
IRL,Quarantine requirement at government designated site- subject to category,"All passengers arriving into Ireland from designated States are required to pre-book accommodation in a designated quarantine facility, and to pre-pay for their stay","If you come into Ireland from any country deemed 'high risk' , or If you come to Ireland without a negative or 'not detected' PCR test, you must complete a 14-day mandatory quarantine in a hotel","If you are not arriving from high-risk countries, you may also shorten your quarantine period by taking a RT-PCR test no less than 5 days after your arrival",,,,,COVID-19 negative certification subject to special conditions,All travellers are subject to the requirement for a pre-departure negative PCR test,The test must be taken within 72 hours prior to arrival,Children aged 6 and under are exempted,,,,,,,,,
ISR,Quarantine requirement at government designated site,"From 23 December, all international travellers will be required to complete quarantine",You must be able to prove you can enter isolation at home or another available dwelling in full compliance with the isolation guidance,"If you are unable to do so, you will be sent to a state-sponsored hotel for isolation","You must not use public transport to travel to your dwelling, except a single-passenger taxi, provided you sit in the back of the taxi with the windows open",Family members arriving together may travel together as long as everyone sits in the back,,,COVID-19 negative certification subject to special conditions,All travellers will be required to quarantine for 14 days,This may be shortened to 10 days upon the completion of two negative coronavirus tests (one upon arrival and one after 9 days),The minimum time required between the two tests is at least 24 hours,,,,,,,,,
ITA,Self-isolation at own accommodation-subject to category,*Non-EU Countries: provide a self-declaration ; Self-isolate for 14 days and undergo supervision by the competent local Health Authority,The self-isolation period is reduced to 10 days for travellers who entered Italy after 18 April 2021,"After the 10-day period, an additional PCR test is required", This quarantine requirement does not apply to officials and representatives of international organizations and diplomatic missions,"*Persons entering Italy who visited or transited through India, Bangladesh or Sri Lanka between 15 and 28 April 2021, even if they do not show symptoms of Covid-19, need to inform the local health authority, take a swab test (molecular or antigenic), self-isolate for a period of 10 days and take another swab test","*Travelers from EU countries, Israel, & the UK: From 16 May until 30 July there is no longer a requirement to quarantine on arrival in Italy, unless travellers arrive without proof of a negative test",This does not apply to persons who have no COVID-19 symptoms AND had established residency in Italy prior to 13 February 2021,COVID-19 negative certification required for entering the country,All travellers are subject to the requirement for a pre-departure negative COVID-19 test,The test must be taken within 48 hours prior to arrival,Accepted test: molecular (PCR) and antigenic,Children aged 2 and under are exempted,"All persons travelling to Italy from any foreign location are required to provide a self-declaration  to the carrier or, upon request, to law enforcement officers","Furthermore, travellers are asked to inform the Local Health Authority  as soon as they enter the Italian territory",*ravellers from third-countries are required to take a Covid-19 test within 72 hours prior to entry,"*Specific requirements for India, Bangladesh and Sri Lanka","Entry to Italy from India, Bangladesh and Sri Lanka is banned except for persons either resident in Italy since before 29 April 2021 or expressly authorised by the Ministry of Health","Persons entering Italy who visited or transited through India, Bangladesh or Sri Lanka between 15 and 28 April 2021, even if they do not show symptoms of Covid-19, need to inform the local health authority, take a swab test (molecular or antigenic), self-isolate for a period of 10 days and take another swab test",,
JAM,Self-isolation at own accommodation- subject to category,"All travellers arriving in Jamaica may be tested for COVID-19 if assessed as high-risk as a result of exhibiting symptoms, exposure to persons who have tested positive, belonging to a high-risk group or other risk factors",All travellers arriving in Jamaica will be subject to quarantine according to their category,,,,,,COVID-19 negative certification required for entering the country,"All travellers from 12 years and upwards arriving in Jamaica must present a negative COVID-19 molecular (PCR, NAA, RNA) or Antigen test, which was conducted within the 72 hours prior to the date of travel",,,,,,,,,,,
JPN,Quarantine requirement at government designated site or self-isolation at designated location- subject to category,"Travellers coming from the UK or the mofa list of countries to spend 3 days in self-isolation at a government-provided facility, with a further COVID-19 test on the third day",If the test is negative they will be allowed to continue 14 days‚Äô self-isolation as set out below,"All passengers arriving in Japan from those countries which were part of individual Business and Residence Tracks until recently, are required to sign a pledge confirming that they will self-isolate for 14 days on arrival at a designated location (such as a hotel or their own home)",This pledge will also ask individuals to refrain from using public transport; install Japan‚ COVID-19 tracing app; maintain location data for 14 days via their smartphone mapping application; and agree to disclose location data if requested by the quarantine authority,,,,COVID-19 negative certification required for entering the country,"All passengers arriving in Japan are required to complete a health questionnaire before disembarkation, including contact details",They are then required to undergo a COVID-19 test at the airport,You will be asked to wait for the test results at the airport before moving to your accommodation,,,,,,,,,
